| time |   in   |load | address |  out   |
| 0+   |      0 |  0  |      0  |      0 |
| 1    |      0 |  0  |      0  |      0 |
| 1+   |      0 |  1  |      0  |      0 |
| 2    |      0 |  1  |      0  |      0 |
| 2+   |   4321 |  0  |      0  |      0 |
| 3    |   4321 |  0  |      0  |      0 |
| 3+   |   4321 |  1  |   4321  |      0 |
| 4    |   4321 |  1  |   4321  |   4321 |
| 4+   |   4321 |  0  |      0  |      0 |
| 5    |   4321 |  0  |      0  |      0 |
| 5+   |  12345 |  0  |  12345  |      0 |
| 6    |  12345 |  0  |  12345  |      0 |
| 6+   |  12345 |  1  |  12345  |      0 |
| 7    |  12345 |  1  |  12345  |  12345 |
| 7+   |  12345 |  0  |  12345  |  12345 |
| 8    |  12345 |  0  |  12345  |  12345 |
| 8    |  12345 |  0  |   4321  |   4321 |
| 8+   |  16383 |  0  |   4321  |   4321 |
| 9    |  16383 |  0  |   4321  |   4321 |
| 9+   |  16383 |  1  |  16383  |      0 |
